is_number,year,title,revision,section,scope,key_requirements,reference
IS 2098 : 1997,1997,ASBESTOS CEMENT BUILDING BOARDS,First Revision,Cement and Concrete,"Requirements regarding composition, b) From 6 mm and above ± 0.1 e mm (± 10 percent) dimensions, and test of asbestos cement building where 'e' is nominal thickness of board. boards. Asbestos cement flat sheets and silica asbestos cement flat sheets which are different, are not covered in 4. Tests this standard. 4.1 Load Bearing Capacity— Average of two specimens not less than 20 kg for Class A boards and","1. Scope — Requirements regarding composition, b) From 6 mm and above ± 0.1 e mm (± 10 percent) | specimens not less than 20 kg for Class A boards and | 2. Classification — See Table 1. 15 kg for Class B and Class C boards. | 3. Tolerances shall not be less than 15 kg for Class A boards and 10 kg | 3.1 Length and Width ±0.5 mm 4.2 Water Absorption Test— The amount of water | absorbed by the specimen shall not exceed 40 percent | a) From 3 mm to 5 mm ± 0.5 mm | mm mm mm",
IS 6908 : 1991,1991,ASBESTOS CEMENT PIPES AND FITTINGS FOR SEWERAGE AND DRAINAGE,First revision,Cement and Concrete,"Requirements for asbestos-cement pipes 5.2 Fittings — Tolerances on the nominal thickness of and fittings suitable for use with gravity flow at the fittings shall be as follows: atmosopheric pressure, intended for sewerage and drain- Upper deviation : Free age application. Lower deviation :—1.5 mm","Lower deviation :—1.5 mm | shall be seamless, compact and homogeneous. Their 6. Tests | tions shall have a flush and fair finish. tested to a pressure of 0.25 MPa shall not show any | a) Pipes— Minimum 33 N/mm. | 4. Fittings b) Fittings — No minimum transverse crushing load is | 100 mm 2.8 kN | 125 mm 4.2 kN | 150 mm 6.0 kN | acetic acid neutralied shall not exceed 0.100 g/cm | Nominal Minimum Ultimate Crushing Load | mm Class 1 Class 2 Class 3 | mm mm mm mm",
IS 8870 : 1978,1978,ASBESTOS CEMENT CABLE CONDUITS AND TROUGHS,,Cement and Concrete,"Covers asebstos cement cable conduits 2.3 For detailed dimensions for asbestos cement of 50 to 150 mm diameter together with plastic couplings conduits, troughs and their fittings, refer to Table 3 to 7 and asbestos cement conical couplings and asbestos of the standard. cement collars with rubber rings These are intended to accomodate paper insulated telecommunication and 3. Finish — Homogenous with inner and outer surfaces power cables. clean, true, smooth and free from any imperfections that render them unsuitable for their purpose. Ends shall be Also covers asebestos cement cable trough of finished square to the axis. 100×100 mm to 300×300 mm size together with bends and union clips for use at ground level and above ground level for carrying cables. 4. Tests","of 50 to 150 mm diameter together with plastic couplings conduits, troughs and their fittings, refer to Table 3 to 7 | accomodate paper insulated telecommunication and 3. Finish — Homogenous with inner and outer surfaces | 100×100 mm to 300×300 mm size together with bends and | strength, water absorption, impact resistance and | mm. Nominal length and wall thickness shall be 1.75 m | and 12 mm respectively. Note— For detailed test requirements refer to 6 of the standard. | 2.2.1 Tolerances on depth and width shall be ±3 mm | and on length it shall be ± 6 mm. | mm mm m m mm mm mm",
IS 9627 : 1980,1980,ASBESTOS CEMENT PRESSURE PIPES (LIGHT DUTY),,Cement and Concrete,"Requirements for manufacture, 4. Dimensions and Tolerances classification dimensions, tests and acceptance criteria 4.1 Nominal diameters and other dimension of pipes— for asbestos cement pressure pipes (light duty) of class Shall be given in Table 1. 5 and class 10. 4.2 Tolerances—","2. Physical Properties a) Diameter— ± 0.6 mm | 2.1 Hydraulic bursting Stress— Not less than 10 N/mm | for class 5 pipes and 12.5 N/mm for class 10 pipes. Nominal Thickness Tolerances | mm mm | larger than 150 mm, the unit transverse crushing stress | shall not be less than 30 N/mm. Over 10 up to and including 15 –2.0 | smaller than 150 mm, the unit longitudinal bending stress +50 mm | shall not be less than 20N/mm . –20 mm | 3. Classification 50 mm Dia –5.5 l mm | 80 mm to 200 Dia –4.5 l mm | Pressure N/mm2 not indicate any loss or visible sweating on the outside | hydraulic test pressure and the hydraulic working 10 percent.",
IS 13000 : 1990,1990,SILICA ASBESTOS - CEMENT FLAT SHEETS,,Cement and Concrete,"Requirement for materials, classification, 4.3 Tolerances dimensions and tests for silica-asbestos-cement flat a) Thickness sheets. From 3 mm to 5 mm — ±0.5 mm","From 3 mm to 5 mm — ±0.5 mm | 2. Classification – Shall be classified according to From 6 mm and above — ± 0.1 e mm | Class of Bending Stress N/mm2 .Min Density | to fibres right angles more than ±5 mm. | than 2mm/m for the relevant dimension (length | free from visible defects that impair its appearance or d) Squareness of Edges—The tolerance on | uniform texture and shall have at least one smooth srface. than 3 mm/m. | trimmed straight and regular edges and shall be square of edges, squareness of edges, bending stress and | 4.1 Thickness shall be 3,4,5,6,8,10,12 and 15 mm | mm mm",
IS 13008 : 1990,1990,SHALLOW CORRUGATED ASBESTOS CEMENT SHEETS,,Cement and Concrete,"Covers the requirements for materials, 3.2 Impermeability — Shall not show during 24 hours dimensions and tests for shallow corrugated asbestos of test any formation of drops of water except traces of cement sheets. moisture on the lower surface.",3.1 Load bearing capacity – Shall be not less than | 1.8mm width of the specimen.,
IS 458 : 2003,2003,PRECAST CONCRETE PIPES (WITH AND,Fourth Revision,Cement and Concrete,"Requirements for reinforced and c) Over 50 mm up to and : + 4 mm unreinforced precast cement concrete pipes, of both including 65 mm –2 pressure and non- pressure varieties used for water d) Over 65 mm up to : + 5 mm mains, sewers, culverts and irrigation. The requirements and including 80 mm – 2.5 for collars are also covered by this standard. e) Over 80 mm up to and : +6 mm including 95 mm : –3","1. Scope — Requirements for reinforced and c) Over 50 mm up to and : + 4 mm | unreinforced precast cement concrete pipes, of both including 65 mm –2 | pressure and non- pressure varieties used for water d) Over 65 mm up to : + 5 mm | mains, sewers, culverts and irrigation. The requirements and including 80 mm – 2.5 | for collars are also covered by this standard. e) Over 80 mm up to and : +6 | including 95 mm : –3 | 2. Classification — For the purpose of this f) Over 95 mm : +7 mm | minimum reinforcements and strength test requierments 4. Workmanship and Finish | between ends in contact shall exceed 3 mm in pipes up | 3.2 Tolerances to 600 mm diameter (inclusive), and 6 mm in pipes larger | than 600 mm diameter. | i) Overal length : ± 1 percent of wash or other preparation unless otherwise agreed to",
IS 784 : 2001,2001,PRESTRESSED CONCRETE PIPES (INCLUDING SPECIALS),Second Revision,Cement and Concrete,"Requirements of prestressed concrete to protect the steel cylinder and prestressing wires. cylinder and non- cylinder pipes (including specials) with nominal internal diameter in the range of 200 mm to 2.2 Prestressed Concrete Non Cylinder Pipe– A 2 500 mm, in which permanent internal stresses are suitably compacted concrete core longitudinally deliberately introduced by tensioned steel to the desired prestressed with pre-tensioned high tensile steel wire degree to counteract the stresses caused in the pipe embedded in the concrete,circumferentially prestressed under service. and coated with cement mortar/ concrete to protect the circumferential prestressing wire to withstand internal pressure and external design loads.","with nominal internal diameter in the range of 200 mm to 2.2 Prestressed Concrete Non Cylinder Pipe– A | 2 500 mm, in which permanent internal stresses are suitably compacted concrete core longitudinally | sheet steel cylinder with steel socket and spigot rings 3.1 Nominal internal diameter of pipes and minimum | compacted and circumferentially pre stressed to | Nominal Internal Minimum Nominal Internal Minimum | mm mm mm mm | and 6 m. For pipes upto and including 300dia, the 3.3.1 Length — ±1 percent of specified length. | 3.3.2 Internal diameter 4.1 The maximum permissible deviation from the straight | ± 5 mm for dia upto and including 350 mm shall not exceed 5 mm for every metre length. | ±10 mm for dia above 350 mm 4.2 Pipes shall be free from local depressions or bulges | b) For pipes of length 4m and above greater than 5 mm extending over a length, in any | 600 mm of an of the pipe",
IS 4350 : 1967,1967,CONCRETE POROUS PIPES FOR UNDER DRAINAGE,,Cement and Concrete,Requirement for porous pipes made of 2.4.1 Deviation from straightness — Not to exceed 3 concrete for use in under drainage. The requirements mm per metre run. cover pipes ranging from 80 to 900 mm nominal internal diameter with three types of joints. 3. Tests,"concrete for use in under drainage. The requirements mm per metre run. | cover pipes ranging from 80 to 900 mm nominal internal | 2. Shape and Dimensions 3.1 Load Test — Specimen shall support a minimum | load of 2000 kg uniformly distributed per metre length of | Nominal Internal Permissible mm l/ minute | Upto and including +3 mm 300 to 900 300 | 300 mm –1.5 | Over 300 mm, upto +6 mm | 400 mm –3 mm | over 400 mm +1.5 percent | Nominal Internal Effective Minimum Wall Joints | mm m mm",
IS 7319 : 1974,1974,PERFORATED CONCRETE PIPES,,Cement and Concrete,Requirements for perforated non-re- 3. Sizes and Dimensions — See Table-1 inforced concrete pipes for use in underdrainage work 3.1 Tolerances — Table 2,"a) Circular perforation pipes— 5 to 8 mm diameter | the pipe. Perforations shall be approximately 75 mm 5. Tests | spaced over not more than 165°of the 5.1 Three edge bearing test or sand bearing test. | circumferential in direction, not more than 5 mm 24 h shall not exceed 8 percent of dry weight. | nor less than 3mmin width, and of the lengths | Internal Minimum Rows of Perforations Length of Spacing of Minimum | Barrel, kg/m, Three | mm mm mm mm Method | a) Overall length ± 1 percent of standard length | 1) 300 mm and under + 3 mm | 2) 400 mm + 6 mm | 3) over 400 mm + 1.5 percent","For detailed information, refer to IS 7319 : 1974 Specification for perforated concrete pipes."
IS 7322 : 1985,1985,SPECIALS FOR STEEL CYLINDER REINFORCED CONCRETE PIPES,,Cement and Concrete,"Requirements and methods of tests for Note — For detailed dimensions see Fig. 1 to 5 of the steel cylinder reinforced concrete specials for steel standard cylinder reinforced concrete pipes conforming to 3.2 Tolerances— The following shall be permitted— IS 1916 : 1989* having nominal internal diameter from 200 to 1800mm. Covers special having— Dimensions Tolerances Arm length ±40 mm a) Spigot and socket ends, Arm length (specified) ±10 mm b) Plain ends or slip- in type ends suitable for field Internal diameter welding, and 300 mm and under ± 3 mm c) Flanged ends for connection with valves and over 300mm ± 6 mm or ±1½ mm accessories. (which ever is less) Angular deviation ±1°","200 to 1800mm. Covers special having— Dimensions Tolerances | Arm length ±40 mm | a) Spigot and socket ends, Arm length (specified) ±10 mm | welding, and 300 mm and under ± 3 mm | c) Flanged ends for connection with valves and over 300mm ± 6 mm or ±1½ mm | classification as for steel cylinder reinforced concrete free from local dents or bulges greater than 3.0 mm in | opening between ends in contact shall exceed 3 mm in | specials up to 600 mm diameter and 6 mm in specials | larger than 600 mm diameter. | 1 300, 1 400, 1 500, 1 600, 1 700 and 1 800 mm. | 3.1 Minimum thickness of plate for steel shell and | Nominal Internal Minimum Thickness requirements of this standard.",
IS 1834 : 1984,1984,HOT APPLIED SEALING COMPOUNDS FOR JOINTS IN CONCRETE,First Revision,Cement and Concrete,"Specifies hot applied sealing compounds Note—Sealing compound shall be employed for filling contraction and construction joints as well as a sealing medium intended for use in sealing joints in concrete roads, above expansion joint filler to a depth not exceeding 40 mm. runways, bridges and other structures. The material covered by this standard is suitable only for longitudinal 3. Grades and transverse joints not more than 12 m apart. a) Grade A ( Ordinary ), and","above expansion joint filler to a depth not exceeding 40 mm. | and transverse joints not more than 12 m apart. | i) Pour point, Max 180°C | ii) Flow test, percentage, Max 5 | iii) Extensibility, Min 6 mm | (iv) After 7 days immersion in aviation fuel 15 Max | b) Change in mass, after 7 days immersion in aviation fuel, percent, 1 Max",
